,beer,brewery,style,link,abv,rating
0,King JJJuliusss,Tree House Brewing Company,IPA - Imperial / Double,/b/tree-house-brewing-company-king-jjjuliusss/1616182,8.4% ABV,4.74
1,Rare Bourbon County Brand Stout (2010),Goose Island Beer Co.,Stout - Imperial / Double,/b/goose-island-beer-co-rare-bourbon-county-brand-stout/11024,13% ABV,4.74
2,Bourbon County Brand Stout Vanilla Rye (2014),Goose Island Beer Co.,Stout - Imperial / Double,/b/goose-island-beer-co-bourbon-county-brand-stout-vanilla-rye-2014/776678,13.6% ABV,4.74
3,Proprietor's Bourbon County Brand Stout (2014),Goose Island Beer Co.,Stout - Imperial / Double,/b/goose-island-beer-co-proprietor-s-bourbon-county-brand-stout-2014/860942,13.2% ABV,4.74
4,Beer : Barrel : Time (2018),Side Project Brewing,Stout - Imperial / Double,/b/side-project-brewing-beer-barrel-time-2018/2924282,15% ABV,4.74
5,Kentucky Brunch Brand Stout,Toppling Goliath Brewing Co.,Stout - Imperial / Double,/b/toppling-goliath-brewing-co-kentucky-brunch-brand-stout/131332,12% ABV,4.73
6,Beer : Barrel : Time (2019),Side Project Brewing,Stout - Imperial / Double,/b/side-project-brewing-beer-barrel-time-2019/3506529,15% ABV,4.73
7,Rare Bourbon County Brand Stout (2015),Goose Island Beer Co.,Stout - Imperial / Double,/b/goose-island-beer-co-rare-bourbon-county-brand-stout-2015/1230311,14.8% ABV,4.71
8,Proprietor's Bourbon County Brand Stout (2013),Goose Island Beer Co.,Stout - Imperial / Double,/b/goose-island-beer-co-proprietor-s-bourbon-county-brand-stout-2013/484265,14.1% ABV,4.71
9,Blue Suede Shews,Pips Meadery,Mead - Other,/b/pips-meadery-blue-suede-shews/1531557,14% ABV,4.71
10,Barrel Aged Adjunct Trail,Angry Chair Brewing,Stout - Imperial / Double Milk,/b/angry-chair-brewing-barrel-aged-adjunct-trail/3110760,11% ABV,4.7
11,Fundamental Observation (2016),Bottle Logic Brewing,Stout - Imperial / Double,/b/bottle-logic-brewing-fundamental-observation-2016/1555220,14.1% ABV,4.69
12,The Heart Of Darkness,Schramm's Mead,Mead - Melomel,/b/schramm-s-mead-the-heart-of-darkness/457854,14% ABV,4.69
13,Barrel-Aged Abraxas,Perennial Artisan Ales,Stout - Imperial / Double,/b/perennial-artisan-ales-barrel-aged-abraxas/264563,11.2% ABV,4.69
14,Good Morning,Tree House Brewing Company,Stout - Imperial / Double,/b/tree-house-brewing-company-good-morning/808915,8.4% ABV,4.69
15,Very Hazy,Tree House Brewing Company,IPA - Imperial / Double,/b/tree-house-brewing-company-very-hazy/885563,8.6% ABV,4.69
16,Assassin (2014) (Gold Wax),Toppling Goliath Brewing Co.,Stout - Imperial / Double,/b/toppling-goliath-brewing-assassin-2014-gold-wax/763835,12.8% ABV,4.68
17,King Julius,Tree House Brewing Company,IPA - Imperial / Double,/b/tree-house-brewing-company-king-julius/273734,8.2% ABV,4.68
18,Double Barrel Hunahpu's,Cigar City Brewing,Stout - Imperial / Double,/b/cigar-city-brewing-double-barrel-hunahpu-s/489624,11.5% ABV,4.68
19,Very GGGreennn,Tree House Brewing Company,IPA - Imperial / Double,/b/tree-house-brewing-company-very-gggreennn/3268966,8.3% ABV,4.68
20,Dark Lord - Marshmallow Handjee (2018),3 Floyds Brewing Company,Stout - Russian Imperial,/b/3-floyds-brewing-company-dark-lord-marshmallow-handjee-2018/2650851,15% ABV,4.68
21,Blessed,Anchorage Brewing Company,Stout - Imperial / Double,/b/anchorage-brewing-company-blessed/3819036,14% ABV,4.67
22,Bourbon County Brand Vanilla Stout (2010),Goose Island Beer Co.,Stout - Imperial / Double,/b/goose-island-beer-co-bourbon-county-brand-vanilla-stout-2010/10068,13% ABV,4.67
23,King Henry,Goose Island Beer Co.,Barleywine - English,/b/goose-island-beer-co-king-henry/43152,13.4% ABV,4.67
24,SR-71,Toppling Goliath Brewing Co.,Stout - Imperial / Double,/b/toppling-goliath-brewing-co-sr-71/1005596,14% ABV,4.67
25,Barrel Aged Imperial German Chocolate Cupcake Stout,Angry Chair Brewing,Stout - Imperial / Double Pastry,/b/angry-chair-brewing-barrel-aged-imperial-german-chocolate-cupcake-stout/1955126,11% ABV,4.67
26,Beer : Barrel : Time (2017),Side Project Brewing,Stout - Imperial / Double,/b/side-project-brewing-beer-barrel-time-2017/2385126,15% ABV,4.66
27,Barrel Aged Coconut Vibes,Shared,Stout - Russian Imperial,/b/shared-barrel-aged-coconut-vibes/3068518,15% ABV,4.66
28,A Deal With the Devil - Double Oaked (2017),Anchorage Brewing Company,Barleywine - American,/b/anchorage-brewing-company-a-deal-with-the-devil-double-oaked-2017/2361815,17% ABV,4.66
29,Rare Scooop,Cycle Brewing Company,Stout - Imperial / Double,/b/cycle-brewing-company-rare-scooop/1547756,N/A ABV,4.65
30,Dark Lord - Marshmallow Handjee (2016),3 Floyds Brewing Company,Stout - Russian Imperial,/b/3-floyds-brewing-company-dark-lord-marshmallow-handjee-2016/1529002,15% ABV,4.65
31,Pliny the Younger,Russian River Brewing Company,IPA - Triple,/b/russian-river-brewing-company-pliny-the-younger/28331,10.25% ABV,4.65
32,Bourbon Barrel Aged Dark Lord with Vanilla Beans,3 Floyds Brewing Company,Stout - Russian Imperial,/b/3-floyds-brewing-company-bourbon-barrel-aged-dark-lord-with-vanilla-beans/307468,15% ABV,4.65
33,Bourbon County Brand Double Barrel Stout (2019),Goose Island Beer Co.,Stout - Imperial / Double,/b/goose-island-beer-co-bourbon-county-brand-double-barrel-stout-2019/3541014,18.1% ABV,4.65
34,Proprietor’s Bourbon County Brand Stout (2019),Goose Island Beer Co.,Stout - Imperial / Double,/b/goose-island-beer-co-proprietor-s-bourbon-county-brand-stout-2019/3368647,14.5% ABV,4.64
35,Dark Lord - Marshmallow Handjee (2017),3 Floyds Brewing Company,Stout - Russian Imperial,/b/3-floyds-brewing-company-dark-lord-marshmallow-handjee-2017/2064253,15% ABV,4.64
36,Fundamental Observation (2017),Bottle Logic Brewing,Stout - Imperial / Double,/b/bottle-logic-brewing-fundamental-observation-2017/2155304,13.6% ABV,4.64
37,3 Fonteinen Zenne y Frontera,Brouwerij 3 Fonteinen,Lambic - Traditional,/b/brouwerij-3-fonteinen-3-fonteinen-zenne-y-frontera/1220676,7% ABV,4.64
38,Derivation (Blend #13),Side Project Brewing,Stout - Imperial / Double,/b/side-project-brewing-derivation-blend-13/3549478,15% ABV,4.63
39,Black Agnes,Schramm's Mead,Mead - Melomel,/b/schramm-s-mead-black-agnes/562749,14% ABV,4.63
40,Hypermash Hydra (2020),Bottle Logic Brewing,Stout - Imperial / Double,/b/bottle-logic-brewing-hypermash-hydra-2020/3714944,13.54% ABV,4.63
41,Mornin' Delight,Toppling Goliath Brewing Co.,Stout - Imperial / Double Coffee,/b/toppling-goliath-brewing-co-mornin-delight/72430,12% ABV,4.63
42,Dark Lord - ChemTrailMix (2018),3 Floyds Brewing Company,Stout - Russian Imperial,/b/3-floyds-brewing-company-dark-lord-chemtrailmix-2018/2650852,15% ABV,4.63
43,Derivation (Blend #6),Side Project Brewing,Stout - Imperial / Double,/b/side-project-brewing-derivation-blend-6/1683111,15% ABV,4.63
44,Proprietor's Bourbon County Brand Stout (2017),Goose Island Beer Co.,Stout - Imperial / Double,/b/goose-island-beer-co-proprietor-s-bourbon-county-brand-stout-2017/2353293,14% ABV,4.63
45,Juice Machine,Tree House Brewing Company,IPA - Imperial / Double,/b/tree-house-brewing-company-juice-machine/616287,8.2% ABV,4.62
46,Very Green,Tree House Brewing Company,IPA - Imperial / Double,/b/tree-house-brewing-company-very-green/689944,8.3% ABV,4.62
